expanded_id,title,doi,url,license,oa_status,path,downloaded,pdf_signature,bytes,sha256,content_type,retrieved_at,error
X035,Conversational AI in hospitality and tourism: a bibliometric–systematic review,https://doi.org/10.1080/23311975.2026.2613599,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2026.2613599?needAccess=true,cc-by,gold,library/staging/expanded/B01/X035-Conversational-AI-in-hospitality-and-tourism-a-bibliometric-systematic-review.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X036,Integrating Brand Identity Into AI-Based Conversational Agents: A Systematic Literature Review,https://doi.org/10.24251/hicss.2025.461,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1762&context=hicss-58,,green,library/staging/expanded/B01/X036-Integrating-Brand-Identity-Into-AI-Based-Conversational-Agents-A-Systematic-Lite.pdf,true,true,459104,76111e5283ad8c815424cce3e140d0d77dcb8fd04c86dff97807a90d51dcdeb0,application/pdf,2026-08-31T23:46:12.713262+00:00,
X037,User-Adaptive Personalized Chatbots for Conversational Information Seeking Tasks,https://doi.org/10.1145/3698204.3716483,https://dl.acm.org/doi/pdf/10.1145/3698204.3716483,,gold,library/staging/expanded/B01/X037-User-Adaptive-Personalized-Chatbots-for-Conversational-Information-Seeking-Tasks.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X038,"Conversational Smart Products: A Research Opportunity, First Investigation And Definition",https://doi.org/10.21428/5395bc37.d8801b95,https://desform19.pubpub.org/pub/conversational-smart-products/download/pdf,cc-by-nc-nd,gold,library/staging/expanded/B01/X038-Conversational-Smart-Products-A-Research-Opportunity-First-Investigation-And-Def.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X044,Coproducing multilingual conversational scripts for a mental wellbeing chatbot - where healthcare domain experts become chatbot designers,https://doi.org/10.1192/j.eurpsy.2022.748,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/335B848DEE055ADF849F699EC7E27DDC/S0924933822007489a.pdf/div-class-title-coproducing-multilingual-conversational-scripts-for-a-mental-wellbeing-chatbot-where-healthcare-domain-experts-become-chatbot-designers-div.pdf,cc-by,gold,library/staging/expanded/B01/X044-Coproducing-multilingual-conversational-scripts-for-a-mental-wellbeing-chatbot-w.pdf,false,false,0,,,,<HTTPError 429: 'Too Many Requests'>
X046,Understanding the user experience of customer service chatbots: An experimental study of chatbot interaction design,https://doi.org/10.1016/j.ijhcs.2022.102788,https://www.sciencedirect.com/science/article/pii/S1071581922000179/pdf,cc-by,hybrid,library/staging/expanded/B01/X046-Understanding-the-user-experience-of-customer-service-chatbots-An-experimental-s.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X047,Why Johnny Can’t Prompt: How Non-AI Experts Try (and Fail) to Design LLM Prompts,https://doi.org/10.1145/3544548.3581388,https://dl.acm.org/doi/pdf/10.1145/3544548.3581388,,gold,library/staging/expanded/B01/X047-Why-Johnny-Can-t-Prompt-How-Non-AI-Experts-Try-and-Fail-to-Design-LLM-Prompts.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
X048,The Chatbot Usability Scale: the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents,https://doi.org/10.1007/s00779-021-01582-9,https://link.springer.com/content/pdf/10.1007/s00779-021-01582-9.pdf,cc-by,hybrid,library/staging/expanded/B01/X048-The-Chatbot-Usability-Scale-the-Design-and-Pilot-of-a-Usability-Scale-for-Intera.pdf,true,true,979439,0c890202a8eb5d76e9b03a53fdfc9768640e45120c7c0b4bf3974cefdb85e886,application/pdf,2026-08-31T23:46:18.913612+00:00,
X049,Future directions for chatbot research: an interdisciplinary research agenda,https://doi.org/10.1007/s00607-021-01016-7,https://link.springer.com/content/pdf/10.1007/s00607-021-01016-7.pdf,cc-by,hybrid,library/staging/expanded/B01/X049-Future-directions-for-chatbot-research-an-interdisciplinary-research-agenda.pdf,true,true,437081,9f2cbba8750b9fc2804d37756b052b90f3ad7ff6b0d39292286a5f3ba4a7ea4f,application/pdf,2026-08-31T23:46:22.561370+00:00,
X050,Best Practices for Designing Chatbots in Mental Healthcare – A Case Study on iHelpr,https://doi.org/10.14236/ewic/hci2018.129,https://www.scienceopen.com/document_file/ae1b4701-1445-480b-ae95-9d3c393b5028/ScienceOpen/BHCI-2018_Cameron.pdf,cc-by,hybrid,library/staging/expanded/B01/X050-Best-Practices-for-Designing-Chatbots-in-Mental-Healthcare-A-Case-Study-on-iHelp.pdf,false,false,0,,,,<HTTPError 403: 'Forbidden'>
