corpus_id,title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from
DCM-00592,Appreciative Inquiry as Conversation,10.1007/978-0-387-75843-5_7,doi_dedup___::a339031c257a0acb34e4502d121b28d1,https://doi.org/10.1007/978-0-387-75843-5_7,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00592,Appreciative Inquiry as Conversation,10.1007/978-0-387-75843-5_7,doi_dedup___::a339031c257a0acb34e4502d121b28d1,https://dx.doi.org/10.1007/978-0-387-75843-5_7,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00594,Mobile Technology and its Applications in Instructional Conversation,10.4018/978-1-59904-597-9.ch022,doi_dedup___::fb7eb62221335df222150bcf1131f37b,https://doi.org/10.4018/978-1-59904-597-9.ch022,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00594,Mobile Technology and its Applications in Instructional Conversation,10.4018/978-1-59904-597-9.ch022,doi_dedup___::fb7eb62221335df222150bcf1131f37b,https://doi.org/10.4018/978-1-60566-054-7.ch068,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00595,Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509,doi_dedup___::8765e11d2ca613c822d1da6e92b21713,https://doi.org/10.26686/wgtn.17148509,true,OPEN,hybrid,CC BY NC SA,Doctoral thesis,Unknown Repository,Crossref
DCM-00595,Factors Affecting Conversation Design for Digital Political Personae,10.26686/wgtn.17148509,doi_dedup___::8765e11d2ca613c822d1da6e92b21713,https://openaccess.wgtn.ac.nz/articles/thesis/Factors_Affecting_Conversation_Design_for_Digital_Political_Personae/17148509/1/files/31709642.pdf,true,OPEN,bronze,,Doctoral thesis,Unknown Repository,UnpayWall
DCM-00596,Constructing Online Conversation to Support Learning,10.4018/978-1-59904-597-9.ch014,doi_dedup___::24d2034582a079436fa9e19b84ec7a7e,https://doi.org/10.4018/978-1-59904-597-9.ch014,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00597,Conversation Piece,10.1007/978-3-7643-8140-0_53,doi_dedup___::f302c4c02eccb567feeb79cf70163be2,https://doi.org/10.1007/978-3-7643-8140-0_53,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00597,Conversation Piece,10.1007/978-3-7643-8140-0_53,doi_dedup___::f302c4c02eccb567feeb79cf70163be2,https://doi.org/10.1007/978-3-7643-8142-4_48,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00598,Conversation Dispositifs: Towards a Transdisciplinary Design Anthropological Approach,10.5040/9781474280617.ch-008,doi_________::7d7f0835a7e881f447b0fd638d5e9317,https://doi.org/10.5040/9781474280617.ch-008,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00599,Conversation Theory Conceptualized in E-Learning Environments,10.4018/978-1-59904-597-9.ch006,doi_dedup___::1c68e5a145fd161ebf077aa11648bda5,https://doi.org/10.4018/978-1-59904-597-9.ch006,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00600,Conversation Piece,10.1007/978-3-7643-8142-4_48,doi_dedup___::f302c4c02eccb567feeb79cf70163be2,https://doi.org/10.1007/978-3-7643-8140-0_53,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00600,Conversation Piece,10.1007/978-3-7643-8142-4_48,doi_dedup___::f302c4c02eccb567feeb79cf70163be2,https://doi.org/10.1007/978-3-7643-8142-4_48,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00601,Rights and Responsibilities in Conversation Practice,10.1007/978-0-387-75843-5_8,doi_dedup___::67feff8f75898218a078737dea29e8ba,https://doi.org/10.1007/978-0-387-75843-5_8,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00601,Rights and Responsibilities in Conversation Practice,10.1007/978-0-387-75843-5_8,doi_dedup___::67feff8f75898218a078737dea29e8ba,https://dx.doi.org/10.1007/978-0-387-75843-5_8,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00603,Conversation Analysis,10.4135/9781071812082.n118,doi_________::52a8631c3662ee8c688be8b835bebb47,https://doi.org/10.4135/9781071812082.n118,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00604,Design in conversation,10.4324/9781315567594-5,doi_dedup___::49cf4095651c4b50f7ffe126fc527a08,https://doi.org/10.4324/9781315567594-5,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00604,Design in conversation,10.4324/9781315567594-5,doi_dedup___::49cf4095651c4b50f7ffe126fc527a08,https://dx.doi.org/10.4324/9781315567594-5,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00605,Design as conversation and perception,10.4324/9780080454979-23,doi_dedup___::bceb970d64671810e1d5be42d1450890,https://doi.org/10.4324/9780080454979-23,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00605,Design as conversation and perception,10.4324/9780080454979-23,doi_dedup___::bceb970d64671810e1d5be42d1450890,https://dx.doi.org/10.4324/9780080454979-23,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00605,Design as conversation and perception,10.4324/9780080454979-23,doi_dedup___::bceb970d64671810e1d5be42d1450890,https://dx.doi.org/10.4324/9780080454979-23,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00606,"Conversation: THE SNUG: A Conversation about Design Research. Imagining, embodying, assembling",10.21606/drs.2018.708,doi_dedup___::bbf6cf260b1afdb11da6fe7cfe67a4f2,https://doi.org/10.21606/drs.2018.708,false,,,,Article,Unknown Repository,Crossref
DCM-00607,Aspects of Language Use in Design Conversation*,10.1201/9780429182433-21,doi_dedup___::e6346769b05725ef3188af0f6ba66c53,https://doi.org/10.1080/15710880802492870,false,,,,Article,CoDesign,Crossref
DCM-00607,Aspects of Language Use in Design Conversation*,10.1201/9780429182433-21,doi_dedup___::e6346769b05725ef3188af0f6ba66c53,https://doi.org/10.1201/9780429182433-21,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00607,Aspects of Language Use in Design Conversation*,10.1201/9780429182433-21,doi_dedup___::e6346769b05725ef3188af0f6ba66c53,https://dx.doi.org/10.1080/15710880802492870,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00607,Aspects of Language Use in Design Conversation*,10.1201/9780429182433-21,doi_dedup___::e6346769b05725ef3188af0f6ba66c53,https://dx.doi.org/10.1080/15710880802492870,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00608,Working with Gordon Pask (1967-1978),10.4018/978-1-59904-597-9.ch002,doi_dedup___::8d1df70d2129b5c60551b1bc427c7462,https://doi.org/10.4018/978-1-59904-597-9.ch002,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00609,Conversation,10.1016/b978-155860768-2/50005-0,doi_dedup___::f89ec13c043de69cec63051d0dd1f388,https://doi.org/10.1016/b978-155860768-2/50005-0,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00610,Conversation Analysis Applied to User-Centred Design: A Study of Who ‘The User’ Is,10.1057/9780230316874_11,doi_dedup___::e700af019862038ad3e08ddf07df0de0,https://doi.org/10.1057/9780230316874_11,false,CLOSED,,Springer TDM,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00610,Conversation Analysis Applied to User-Centred Design: A Study of Who ‘The User’ Is,10.1057/9780230316874_11,doi_dedup___::e700af019862038ad3e08ddf07df0de0,https://dx.doi.org/10.1057/9780230316874_11,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00610,Conversation Analysis Applied to User-Centred Design: A Study of Who ‘The User’ Is,10.1057/9780230316874_11,doi_dedup___::e700af019862038ad3e08ddf07df0de0,https://dx.doi.org/10.1057/9780230316874_11,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00610,Conversation Analysis Applied to User-Centred Design: A Study of Who ‘The User’ Is,10.1057/9780230316874_11,doi_dedup___::e700af019862038ad3e08ddf07df0de0,https://portal.findresearcher.sdu.dk/da/publications/871ef030-a94a-11df-b62d-000ea68e967b,false,RESTRICTED,,,Part of book or chapter of book,University of Southern Denmark Research Output,University of Southern Denmark Research Output
DCM-00610,Conversation Analysis Applied to User-Centred Design: A Study of Who ‘The User’ Is,10.1057/9780230316874_11,doi_dedup___::e700af019862038ad3e08ddf07df0de0,https://portal.findresearcher.sdu.dk/da/publications/871ef030-a94a-11df-b62d-000ea68e967b,false,CLOSED,,,Part of book or chapter of book,University of Southern Denmark Research Output,University of Southern Denmark Research Output
DCM-00611,Conversation Dispositifs: Towards a Transdisciplinary Design Anthropological Approach,10.4324/9781003085188-10,doi_dedup___::cf3002b7f6c7fe303ac26edf6ff27683,https://doi.org/10.4324/9781003085188-10,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00611,Conversation Dispositifs: Towards a Transdisciplinary Design Anthropological Approach,10.4324/9781003085188-10,doi_dedup___::cf3002b7f6c7fe303ac26edf6ff27683,https://dx.doi.org/10.4324/9781003085188-10,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00611,Conversation Dispositifs: Towards a Transdisciplinary Design Anthropological Approach,10.4324/9781003085188-10,doi_dedup___::cf3002b7f6c7fe303ac26edf6ff27683,https://dx.doi.org/10.4324/9781003085188-10,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00612,Entangled Flourishings: Ideas in Conversation with Resisting Reduction,10.21428/7808da6b.00ff17d0,doi_dedup___::42f5a9a85d3a3d7e5af39ff3506a26ef,https://doi.org/10.21428/7808da6b.00ff17d0,false,,,,Article,Unknown Repository,Crossref
DCM-00612,Entangled Flourishings: Ideas in Conversation with Resisting Reduction,10.21428/7808da6b.00ff17d0,doi_dedup___::42f5a9a85d3a3d7e5af39ff3506a26ef,https://dx.doi.org/10.21428/7808da6b.00ff17d0,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00612,Entangled Flourishings: Ideas in Conversation with Resisting Reduction,10.21428/7808da6b.00ff17d0,doi_dedup___::42f5a9a85d3a3d7e5af39ff3506a26ef,https://dx.doi.org/10.21428/7808da6b.00ff17d0,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00612,Entangled Flourishings: Ideas in Conversation with Resisting Reduction,10.21428/7808da6b.00ff17d0,doi_dedup___::42f5a9a85d3a3d7e5af39ff3506a26ef,https://jods.mitpress.mit.edu/pub/5qv35sci/download/pdf,true,OPEN,hybrid,CC BY,Article,Unknown Repository,UnpayWall
DCM-00614,Summary: Interface Design as Visual Conversation,10.1016/b978-0-12-398536-1.00012-7,doi_________::9585ae108b0c579a5b463fe61c6ca882,https://doi.org/10.1016/b978-0-12-398536-1.00012-7,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00615,Objectivation in design team conversation,10.1016/j.destud.2021.101045,doi_dedup___::f71947bd3a19129158a48b92a5fd6275,https://doi.org/10.1016/j.destud.2021.101045,false,CLOSED,,Elsevier TDM,Article,Design Studies,Crossref
DCM-00615,Objectivation in design team conversation,10.1016/j.destud.2021.101045,doi_dedup___::f71947bd3a19129158a48b92a5fd6275,https://dx.doi.org/10.1016/j.destud.2021.101045,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00615,Objectivation in design team conversation,10.1016/j.destud.2021.101045,doi_dedup___::f71947bd3a19129158a48b92a5fd6275,https://dx.doi.org/10.1016/j.destud.2021.101045,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://api.library.uq.edu.au/view/UQ:279297,false,,,,Article,UQ eSpace,UQ eSpace
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://doi.org/10.1016/j.destud.2012.06.008,false,CLOSED,,Elsevier TDM,Article,Design Studies,Crossref
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://doi.org/10.1016/j.destud.2012.06.008,false,,,,Article,Design Studies,University of Southern Denmark Research Output
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://doi.org/10.1016/j.destud.2012.06.008,false,RESTRICTED,,,Article,University of Southern Denmark Research Output,University of Southern Denmark Research Output
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://doi.org/https://doi.org/10.1016/j.destud.2012.06.008,false,,,,Article,The University of Queensland: UQ eSpace,Bielefeld Academic Search Engine (BASE)
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://dx.doi.org/10.1016/j.destud.2012.06.008,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://dx.doi.org/10.1016/j.destud.2012.06.008,false,,,,Article,Unknown Repository,Microsoft Academic Graph
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://portal.findresearcher.sdu.dk/da/publications/5f1a2759-e392-4471-8f0c-0a231d8f8065,false,,,,Article,Design Studies,University of Southern Denmark Research Output
DCM-00616,Analysing conversation: Studying design as social action,10.1016/j.destud.2012.06.008,doi_dedup___::5b4bd0a65a2742bab4e1e7b28427f93a,https://portal.findresearcher.sdu.dk/da/publications/5f1a2759-e392-4471-8f0c-0a231d8f8065,false,RESTRICTED,,,Article,University of Southern Denmark Research Output,University of Southern Denmark Research Output
DCM-00617,Personality In Conversational UI design.,10.31224/osf.io/d3t8x,doi_dedup___::787a114344e719205f1648f58c5aba82,https://doi.org/10.31224/osf.io/d3t8x,false,CLOSED,,CC 0,Article,Unknown Repository,Crossref
DCM-00617,Personality In Conversational UI design.,10.31224/osf.io/d3t8x,doi_dedup___::787a114344e719205f1648f58c5aba82,https://engrxiv.org/d3t8x,false,,,,Preprint,engrXiv,engrXiv
DCM-00617,Personality In Conversational UI design.,10.31224/osf.io/d3t8x,doi_dedup___::787a114344e719205f1648f58c5aba82,https://osf.io/d3t8x/download,true,OPEN,green,,Article,Unknown Repository,UnpayWall
DCM-00618,Design and Implementation Issues for Convincing Conversational Agents,10.4018/978-1-60960-617-6.ch007,doi_dedup___::f1c0c950b35c07abea51cfb2f4cbc998,https://doi.org/10.4018/978-1-60960-617-6.ch007,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00619,Designing Child-Safe Conversational AI: Three Dilemmas for Responsible Design,10.1145/3719160.3737638,doi_dedup___::c3a7bc41241bafa5fc33d2484438d6f3,https://dblp.org/rec/conf/cui/Kurian25.html,false,,,,Conference object,DBLP,DBLP
DCM-00619,Designing Child-Safe Conversational AI: Three Dilemmas for Responsible Design,10.1145/3719160.3737638,doi_dedup___::c3a7bc41241bafa5fc33d2484438d6f3,https://doi.org/10.1145/3719160.3737638,false,,,,Article,Unknown Repository,Crossref
DCM-00619,Designing Child-Safe Conversational AI: Three Dilemmas for Responsible Design,10.1145/3719160.3737638,doi_dedup___::c3a7bc41241bafa5fc33d2484438d6f3,https://doi.org/10.1145/3719160.3737638,false,,,,Conference object,DBLP,DBLP
DCM-00620,THE DESIGN AND IMPLEMENTATION OF A CONVERSATIONAL EXTENSIBLE LANGUAGE,10.21236/ad0709361,doi_dedup___::6c318b37deaa5a197eafa28d6e2b37c7,https://doi.org/10.21236/ad0709361,false,,,,Report,Unknown Repository,Crossref
DCM-00620,THE DESIGN AND IMPLEMENTATION OF A CONVERSATIONAL EXTENSIBLE LANGUAGE,10.21236/ad0709361,doi_dedup___::6c318b37deaa5a197eafa28d6e2b37c7,https://dx.doi.org/10.21236/ad0709361,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00620,THE DESIGN AND IMPLEMENTATION OF A CONVERSATIONAL EXTENSIBLE LANGUAGE,10.21236/ad0709361,doi_dedup___::6c318b37deaa5a197eafa28d6e2b37c7,https://dx.doi.org/10.21236/ad0709361,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00621,Conversational activity UX patterns,10.1145/3304087.3304093,doi_________::0b0521fc0645d30927ef1f0d26325ca1,https://doi.org/10.1145/3304087.3304093,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00622,Sharing Design Ideas: Conversational Grounding in Collaborative Design,10.1007/978-1-4471-0779-8_32,doi_dedup___::23cdf51546fa59949f228a71752ebebb,https://doi.org/10.1007/978-1-4471-0779-8_32,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00622,Sharing Design Ideas: Conversational Grounding in Collaborative Design,10.1007/978-1-4471-0779-8_32,doi_dedup___::23cdf51546fa59949f228a71752ebebb,https://dx.doi.org/10.1007/978-1-4471-0779-8_32,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph
DCM-00624,Conversational Photographs,10.1007/978-3-319-21939-4_5,doi_dedup___::ff016f1c0af56728dd95af40efe8e203,https://doi.org/10.1007/978-1-4020-2210-4_7,false,,,,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00624,Conversational Photographs,10.1007/978-3-319-21939-4_5,doi_dedup___::ff016f1c0af56728dd95af40efe8e203,https://doi.org/10.1007/978-3-319-21939-4_5,false,CLOSED,,Springer TDM,Part of book or chapter of book,Unknown Repository,Crossref
DCM-00626,Increasing Transparency to Design Inclusive Conversational Agents (CAs): Perspectives and Open Issues,10.1145/3571884.3604304,doi_dedup___::6b11ecf9058d9919230f58a3c16dacde,https://dblp.org/rec/conf/cui/MottaQ23.html,false,,,,Conference object,DBLP,DBLP
DCM-00626,Increasing Transparency to Design Inclusive Conversational Agents (CAs): Perspectives and Open Issues,10.1145/3571884.3604304,doi_dedup___::6b11ecf9058d9919230f58a3c16dacde,https://doi.org/10.1145/3571884.3604304,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref
DCM-00626,Increasing Transparency to Design Inclusive Conversational Agents (CAs): Perspectives and Open Issues,10.1145/3571884.3604304,doi_dedup___::6b11ecf9058d9919230f58a3c16dacde,https://doi.org/10.1145/3571884.3604304,false,,,,Conference object,DBLP,DBLP
DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,doi_dedup___::840c4f961411a0a78474f4147d23bd5d,https://dl.designresearchsociety.org/iasdr/iasdr2023/fullpapers/127/,true,OPEN,,CC BY NC,Conference object,Usiena air - Università di Siena,Usiena air - Università di Siena
DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,doi_dedup___::840c4f961411a0a78474f4147d23bd5d,https://doi.org/10.21606/iasdr.2023.394,false,,,,Article,Unknown Repository,Crossref
DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,doi_dedup___::840c4f961411a0a78474f4147d23bd5d,https://doi.org/10.21606/iasdr.2023.394,true,OPEN,,CC BY NC,Conference object,Usiena air - Università di Siena,Usiena air - Università di Siena
DCM-00627,Speculating gender in conversational interfaces,10.21606/iasdr.2023.394,doi_dedup___::840c4f961411a0a78474f4147d23bd5d,https://hdl.handle.net/11365/1249574,true,OPEN,,CC BY NC,Conference object,Usiena air - Università di Siena,Usiena air - Università di Siena
